"Parameter","Estimate","SE","CI_Lower","CI_Upper","Expected_Perfect","Deviation","CI_includes_Perfect"
"Intercept",-7.61173983234349,3.19222989194548,-13.8683954509288,-1.35508421375815,0,-7.61173983234349,FALSE
"Slope",0.996808026612309,0.0076457795333665,0.981822574093177,1.01179347913144,1,-0.00319197338769128,TRUE
