"Hormone","N","Slope_per_hour","R_squared","P_value"
"Cortisol",227,-0.506540965114217,0.185877086497052,1.08483378428215e-11
"DHEA",220,-0.0485388720235049,0.105386503065372,8.58397188070766e-07
