"Hormone","N","Slope_per_hour","SE","R_squared","P_value"
"Cortisol",201,-0.543824204148414,0.066714398862278,0.250322251263479,3.94906882871781e-14
"DHEA",194,-0.053168200651002,0.00927028939832347,0.146264650289006,3.73228014000027e-08
