"Statistic","Value"
"Paired observations",278
"Mean difference min",-70
"SD of differences",339.1
"Pearson r",0.47
"Spearman rho",0.71
"LoA lower",-734.63
"LoA upper",594.62
"Bias test p value",7e-04
