"Variable","Total_N","Missing_N","Complete_N","Missing_Percent"
"Booklet Clock Time",372,35,337,9.4
"MEMs Clock Time",372,61,311,16.4
"Sleep Diary Wake",372,279,93,75
"Cortisol",372,5,367,1.3
"DHEA",372,5,367,1.3
"Booklet Time Since Wake",372,40,332,10.8
"MEMs Time Since Wake",372,77,295,20.7
