"Variable","N","Mean","SD","Median","Q1","Q3","Min","Max"
"Cortisol (nmol/L)",359,5.98231638811513,6.98331292114965,4.1385,2.083045,7.67002,0.52421,89.55714
"DHEA (nmol/L)",359,0.993898577158774,1.03245748506511,0.6181736,0.3092724,1.3146893,0.10757,5.205
"Booklet time since wake (min)",330,248.760606060606,278.579648086322,60,17.75,506.25,0,1438
"MEMs time since wake (min)",304,339.707236842105,358.797657310286,263.5,32,599,0,1439
