"Sample","Method","N","Within_7_5","Within_15"
"Sample 2","Booklet",85,77.6470588235294,89.4117647058824
"Sample 2","MEMs",68,51.4705882352941,70.5882352941177
"Sample 4","Booklet",79,45.5696202531646,55.6962025316456
"Sample 4","MEMs",82,31.7073170731707,39.0243902439024
