"Variable","Total_N","Missing_N","Complete_N","Missing_Percent"
"Booklet clock time parsed",364,34,330,9.3
"MEMs clock time parsed",364,60,304,16.5
"Sleep diary wake parsed",364,0,364,0
"Cortisol",364,5,359,1.4
"DHEA",364,5,359,1.4
"Booklet time since wake",364,34,330,9.3
"MEMs time since wake",364,60,304,16.5
