"Sample","Method","n","n_w1","n_w2","pct_w1","pct_w2","ci_w1_lo","ci_w1_hi","ci_w2_lo","ci_w2_hi"
"2 (+30min)","Booklet",85,66,76,77.6470588235294,89.4117647058824,67.3147793051482,85.9731100393703,80.8496102482185,95.0427341975755
"2 (+30min)","MEMs",68,35,48,51.4705882352941,70.5882352941177,39.0298187979721,63.7791907702399,58.2926394690971,81.0213144082953
"4 (+10hr)","Booklet",79,36,44,45.5696202531646,55.6962025316456,34.3141123940016,57.1672486713628,44.0771909451905,66.8752710634718
"4 (+10hr)","MEMs",82,26,32,31.7073170731707,39.0243902439024,21.8652658022452,42.9156249960947,28.4364609837146,50.4295248183202
