"Parameter","Estimate","SE","CI_Lower","CI_Upper","Perfect_Agreement","t_value","p_value"
"Intercept",-7.56125914241182,3.16119272719381,-13.7570830359016,-1.365435248922,0,-2.39190071436231,0.0196416867743489
"Slope",0.997017267276357,0.00746123097197062,0.982393523290959,1.01164101126175,1,-0.399764158869845,0.689672356165206
